[2026-05-29 14:03:58.397] INFO: Context switch: proceso A-1, cambios: 1
[2026-05-29 14:03:58.417] INFO: Context switch: proceso A-2, cambios: 1
[2026-05-29 14:03:58.438] INFO: Context switch: proceso A-1, cambios: 2
[2026-05-29 14:03:58.458] INFO: Context switch: proceso A-2, cambios: 2
[2026-05-29 14:03:58.478] INFO: Context switch: proceso A-1, cambios: 3
[2026-05-29 14:03:58.498] INFO: Context switch: proceso A-1, cambios: 4
[2026-05-29 14:03:58.519] INFO: Context switch: proceso A-3, cambios: 1
[2026-05-29 14:03:58.539] INFO: Context switch: proceso A-1, cambios: 5
[2026-05-29 14:03:58.559] INFO: Context switch: proceso A-4, cambios: 1
[2026-05-29 14:03:58.581] INFO: Context switch: proceso A-5, cambios: 1
[2026-05-29 14:03:58.658] INFO: Context switch: proceso A-6, cambios: 1
[2026-05-29 14:03:58.680] INFO: Context switch: proceso A-6, cambios: 2
[2026-05-29 14:03:58.884] INFO: Context switch: proceso A-7, cambios: 1
[2026-05-29 14:03:58.904] INFO: Context switch: proceso A-7, cambios: 2
[2026-05-29 14:03:58.925] INFO: Context switch: proceso A-8, cambios: 1
[2026-05-29 14:03:58.945] INFO: Context switch: proceso A-7, cambios: 3
[2026-05-29 14:03:58.966] INFO: Context switch: proceso A-9, cambios: 1
[2026-05-29 14:03:58.986] INFO: Context switch: proceso A-8, cambios: 2
[2026-05-29 14:03:59.006] INFO: Context switch: proceso A-10, cambios: 1
[2026-05-29 14:03:59.027] INFO: Context switch: proceso A-7, cambios: 4
[2026-05-29 14:03:59.047] INFO: Context switch: proceso A-11, cambios: 1
[2026-05-29 14:03:59.068] INFO: Context switch: proceso A-9, cambios: 2
[2026-05-29 14:03:59.088] INFO: Context switch: proceso A-12, cambios: 1
[2026-05-29 14:03:59.108] INFO: Context switch: proceso A-10, cambios: 2
[2026-05-29 14:03:59.129] INFO: Context switch: proceso A-13, cambios: 1
[2026-05-29 14:03:59.149] INFO: Context switch: proceso A-7, cambios: 5
[2026-05-29 14:03:59.169] INFO: Context switch: proceso A-11, cambios: 2
[2026-05-29 14:03:59.189] INFO: Context switch: proceso A-14, cambios: 1
[2026-05-29 14:03:59.209] INFO: Context switch: proceso A-9, cambios: 3
[2026-05-29 14:03:59.230] INFO: Context switch: proceso A-12, cambios: 2
[2026-05-29 14:03:59.250] INFO: Context switch: proceso A-15, cambios: 1
[2026-05-29 14:03:59.270] INFO: Context switch: proceso A-13, cambios: 2
[2026-05-29 14:03:59.291] INFO: Context switch: proceso A-16, cambios: 1
[2026-05-29 14:03:59.311] INFO: Context switch: proceso A-7, cambios: 6
[2026-05-29 14:03:59.331] INFO: Context switch: proceso A-11, cambios: 3
[2026-05-29 14:03:59.351] INFO: Context switch: proceso A-17, cambios: 1
[2026-05-29 14:03:59.372] INFO: Context switch: proceso A-1, cambios: 6
[2026-05-29 14:03:59.392] INFO: Context switch: proceso A-9, cambios: 4
[2026-05-29 14:03:59.412] INFO: Context switch: proceso A-12, cambios: 3
[2026-05-29 14:03:59.433] INFO: Context switch: proceso A-15, cambios: 2
[2026-05-29 14:03:59.453] INFO: Context switch: proceso A-18, cambios: 1
[2026-05-29 14:03:59.474] INFO: Context switch: proceso A-16, cambios: 2
[2026-05-29 14:03:59.494] INFO: Context switch: proceso A-7, cambios: 7
[2026-05-29 14:03:59.515] INFO: Context switch: proceso A-11, cambios: 4
[2026-05-29 14:03:59.535] INFO: Context switch: proceso A-17, cambios: 2
[2026-05-29 14:03:59.556] INFO: Context switch: proceso A-1, cambios: 7
[2026-05-29 14:03:59.576] INFO: Context switch: proceso A-19, cambios: 1
[2026-05-29 14:03:59.596] INFO: Context switch: proceso A-9, cambios: 5
[2026-05-29 14:03:59.617] INFO: Context switch: proceso A-12, cambios: 4
[2026-05-29 14:03:59.637] INFO: Context switch: proceso A-15, cambios: 3
[2026-05-29 14:03:59.658] INFO: Context switch: proceso A-7, cambios: 8
[2026-05-29 14:03:59.678] INFO: Context switch: proceso A-20, cambios: 1
[2026-05-29 14:03:59.700] INFO: Context switch: proceso A-11, cambios: 5
[2026-05-29 14:03:59.721] INFO: Context switch: proceso A-21, cambios: 1
[2026-05-29 14:03:59.741] INFO: Context switch: proceso A-17, cambios: 3
[2026-05-29 14:03:59.761] INFO: Context switch: proceso A-9, cambios: 6
[2026-05-29 14:03:59.781] INFO: Context switch: proceso A-12, cambios: 5
[2026-05-29 14:03:59.802] INFO: Context switch: proceso A-15, cambios: 4
[2026-05-29 14:03:59.822] INFO: Context switch: proceso A-7, cambios: 9
[2026-05-29 14:03:59.842] INFO: Context switch: proceso A-4, cambios: 2
[2026-05-29 14:03:59.863] INFO: Context switch: proceso A-20, cambios: 2
[2026-05-29 14:03:59.883] INFO: Context switch: proceso A-22, cambios: 1
[2026-05-29 14:03:59.904] INFO: Context switch: proceso A-11, cambios: 6
[2026-05-29 14:03:59.924] INFO: Context switch: proceso A-21, cambios: 2
[2026-05-29 14:03:59.946] INFO: Context switch: proceso A-23, cambios: 1
[2026-05-29 14:03:59.966] INFO: Context switch: proceso A-17, cambios: 4
[2026-05-29 14:03:59.986] INFO: Context switch: proceso A-9, cambios: 7
[2026-05-29 14:04:00.006] INFO: Context switch: proceso A-24, cambios: 1
[2026-05-29 14:04:00.027] INFO: Context switch: proceso A-15, cambios: 5
[2026-05-29 14:04:00.047] INFO: Context switch: proceso A-25, cambios: 1
[2026-05-29 14:04:00.067] INFO: Context switch: proceso A-7, cambios: 10
[2026-05-29 14:04:00.089] INFO: Context switch: proceso A-4, cambios: 3
[2026-05-29 14:04:00.109] INFO: Context switch: proceso A-26, cambios: 1
[2026-05-29 14:04:00.129] INFO: Context switch: proceso A-20, cambios: 3
[2026-05-29 14:04:00.151] INFO: Context switch: proceso A-27, cambios: 1
[2026-05-29 14:04:00.171] INFO: Context switch: proceso A-22, cambios: 2
[2026-05-29 14:04:00.191] INFO: Context switch: proceso A-11, cambios: 7
[2026-05-29 14:04:00.212] INFO: Context switch: proceso A-28, cambios: 1
[2026-05-29 14:04:00.232] INFO: Context switch: proceso A-21, cambios: 3
[2026-05-29 14:04:00.252] INFO: Context switch: proceso A-29, cambios: 1
[2026-05-29 14:04:00.273] INFO: Context switch: proceso A-18, cambios: 2
[2026-05-29 14:04:00.293] INFO: Context switch: proceso A-23, cambios: 2
[2026-05-29 14:04:00.313] INFO: Context switch: proceso A-17, cambios: 5
[2026-05-29 14:04:00.334] INFO: Context switch: proceso A-24, cambios: 2
[2026-05-29 14:04:00.354] INFO: Context switch: proceso A-15, cambios: 6
[2026-05-29 14:04:00.374] INFO: Context switch: proceso A-30, cambios: 1
[2026-05-29 14:04:00.394] INFO: Context switch: proceso A-25, cambios: 2
[2026-05-29 14:04:00.415] INFO: Context switch: proceso A-7, cambios: 11
[2026-05-29 14:04:00.435] INFO: Context switch: proceso A-31, cambios: 1
[2026-05-29 14:04:00.455] INFO: Context switch: proceso A-26, cambios: 2
[2026-05-29 14:04:00.476] INFO: Context switch: proceso A-20, cambios: 4
[2026-05-29 14:04:00.496] INFO: Context switch: proceso A-32, cambios: 1
[2026-05-29 14:04:00.517] INFO: Context switch: proceso A-33, cambios: 1
[2026-05-29 14:04:00.537] INFO: Context switch: proceso A-11, cambios: 8
[2026-05-29 14:04:00.557] INFO: Context switch: proceso A-34, cambios: 1
[2026-05-29 14:04:00.577] INFO: Context switch: proceso A-28, cambios: 2
[2026-05-29 14:04:00.598] INFO: Context switch: proceso A-2, cambios: 3
[2026-05-29 14:04:00.618] INFO: Context switch: proceso A-21, cambios: 4
[2026-05-29 14:04:00.638] INFO: Context switch: proceso A-29, cambios: 2
[2026-05-29 14:04:00.658] INFO: Context switch: proceso A-12, cambios: 6
[2026-05-29 14:04:00.679] INFO: Context switch: proceso A-18, cambios: 3
[2026-05-29 14:04:00.699] INFO: Context switch: proceso A-35, cambios: 1
[2026-05-29 14:04:00.720] INFO: Context switch: proceso A-23, cambios: 3
[2026-05-29 14:04:00.740] INFO: Context switch: proceso A-17, cambios: 6
[2026-05-29 14:04:00.760] INFO: Context switch: proceso A-24, cambios: 3
[2026-05-29 14:04:00.780] INFO: Context switch: proceso A-36, cambios: 1
[2026-05-29 14:04:00.801] INFO: Context switch: proceso A-15, cambios: 7
[2026-05-29 14:04:00.821] INFO: Context switch: proceso A-25, cambios: 3
[2026-05-29 14:04:00.841] INFO: Context switch: proceso A-37, cambios: 1
[2026-05-29 14:04:00.861] INFO: Context switch: proceso A-30, cambios: 2
[2026-05-29 14:04:00.882] INFO: Context switch: proceso A-7, cambios: 12
[2026-05-29 14:04:00.903] INFO: Context switch: proceso A-38, cambios: 1
[2026-05-29 14:04:00.923] INFO: Context switch: proceso A-31, cambios: 2
[2026-05-29 14:04:00.943] INFO: Context switch: proceso A-39, cambios: 1
[2026-05-29 14:04:00.963] INFO: Context switch: proceso A-26, cambios: 3
[2026-05-29 14:04:00.984] INFO: Context switch: proceso A-20, cambios: 5
[2026-05-29 14:04:01.004] INFO: Context switch: proceso A-40, cambios: 1
[2026-05-29 14:04:01.024] INFO: Context switch: proceso A-3, cambios: 2
[2026-05-29 14:04:01.044] INFO: Context switch: proceso A-41, cambios: 1
[2026-05-29 14:04:01.065] INFO: Context switch: proceso A-33, cambios: 2
[2026-05-29 14:04:01.085] INFO: Context switch: proceso A-42, cambios: 1
[2026-05-29 14:04:01.105] INFO: Context switch: proceso A-11, cambios: 9
[2026-05-29 14:04:01.126] INFO: Context switch: proceso A-43, cambios: 1
[2026-05-29 14:04:01.146] INFO: Context switch: proceso A-34, cambios: 2
[2026-05-29 14:04:01.166] INFO: Context switch: proceso A-28, cambios: 3
[2026-05-29 14:04:01.186] INFO: Context switch: proceso A-44, cambios: 1
[2026-05-29 14:04:01.207] INFO: Context switch: proceso A-21, cambios: 5
[2026-05-29 14:04:01.227] INFO: Context switch: proceso A-29, cambios: 3
[2026-05-29 14:04:01.247] INFO: Context switch: proceso A-45, cambios: 1
[2026-05-29 14:04:01.267] INFO: Context switch: proceso A-46, cambios: 1
[2026-05-29 14:04:01.288] INFO: Context switch: proceso A-35, cambios: 2
[2026-05-29 14:04:01.311] INFO: Context switch: proceso A-47, cambios: 1
[2026-05-29 14:04:01.331] INFO: Context switch: proceso A-17, cambios: 7
[2026-05-29 14:04:01.352] INFO: Context switch: proceso A-48, cambios: 1
[2026-05-29 14:04:01.372] INFO: Context switch: proceso A-36, cambios: 2
[2026-05-29 14:04:01.393] INFO: Context switch: proceso A-49, cambios: 1
[2026-05-29 14:04:01.413] INFO: Context switch: proceso A-15, cambios: 8
[2026-05-29 14:04:01.434] INFO: Context switch: proceso A-25, cambios: 4
[2026-05-29 14:04:01.454] INFO: Context switch: proceso A-37, cambios: 2
[2026-05-29 14:04:01.474] INFO: Context switch: proceso A-50, cambios: 1
