processId,pid,state,priority,active,arrival,creationDelay,start,finish,totalCpu,remaining,currentInstance,contextSwitch,lastContextSwitch,totalContextSwitchTime,executed,timesExecuted,waiting,turnaround,ioDevice,ioRemaining,timesInIo,memoryRequested,totalMemoryAllocated,pageCount,pageFaults,swapIns,swapOuts,cpuWasteRatio,agingCounter,returnsToReady,cpuWasteCycles
A-001,1,FINISHED,0,0,614,26,4996104,8362412,15277,0,0,11,371,7351,15277,371,7428255,8361798,-1,0,46,25,400,20,220,200,220,0.000,0,0,0
B-002,2,FINISHED,0,0,566,46,4087809,4962033,3496,0,0,27,90,1717,3496,90,4674856,4961467,-1,0,13,0,400,20,84,64,84,0.000,0,0,0
C-003,3,FINISHED,0,1,146,35,2567,14280028,73214,0,0,13,1831,36755,73214,1831,10554889,14279882,-1,0,202,25,160,8,809,801,809,0.000,0,0,0
D-004,4,FINISHED,0,1,234,18,3828,14886903,72421,0,0,30,1816,36141,72421,1816,9814299,14886669,-1,0,210,0,160,8,812,804,812,0.000,0,0,0
E-005,5,FINISHED,0,1,272,50,5494,13582633,64677,0,0,17,1621,32014,64677,1621,9899526,13582361,-1,0,180,0,400,20,845,825,840,0.000,0,0,0
F-006,6,FINISHED,0,1,100,36,1815,6358177,29405,0,0,24,732,14444,29405,732,4861045,6358077,-1,0,94,0,160,8,384,376,384,0.000,0,0,0
G-007,7,FINISHED,0,0,681,19,6724622,13893439,36983,0,0,29,903,18002,36983,903,11778800,13892758,-1,0,114,48,400,20,527,507,527,0.000,0,0,0
H-008,8,FINISHED,0,1,132,15,1875,14181230,64582,0,0,16,1613,32022,64582,1613,9619813,14181098,-1,0,209,0,160,8,797,787,795,0.000,0,0,0
I-009,9,FINISHED,0,1,94,9,1305,2190418,9604,0,0,19,241,4805,9604,241,1603626,2190324,-1,0,27,48,160,8,120,112,120,0.000,0,0,0
J-010,10,FINISHED,0,1,380,14,6324,4743338,21169,0,0,23,531,10696,21169,531,3519862,4742958,-1,0,60,9,400,20,285,265,285,0.000,0,0,0
K-011,11,FINISHED,0,1,241,37,4518,12594348,58615,0,0,23,1442,28771,58615,1442,9240086,12594107,-1,0,152,0,160,8,602,592,600,0.000,0,0,0
L-012,12,FINISHED,0,0,756,24,9502494,15837465,69463,0,0,28,1715,34450,69463,1715,13025361,15836709,-1,0,220,25,400,20,547,509,518,0.000,0,0,0
M-013,13,FINISHED,0,1,433,3,7070,1654346,7339,0,0,26,174,3473,7339,174,1155681,1653913,-1,0,22,0,400,20,125,105,125,0.000,0,0,0
N-014,14,FINISHED,0,0,773,49,10315810,15714443,60301,0,0,13,1515,30476,60301,1515,13445295,15713670,-1,0,165,9,400,20,527,507,508,0.000,0,0,0
O-015,15,FINISHED,0,1,418,2,6839,9702222,41786,0,0,11,1049,20795,41786,1049,6949455,9701804,-1,0,121,0,400,20,569,549,569,0.000,0,0,0
P-016,16,FINISHED,0,0,750,1,8632781,13370647,25289,0,0,14,612,12325,25289,612,12030430,13369897,-1,0,65,0,400,20,319,299,319,0.000,0,0,0
Q-017,17,FINISHED,0,0,739,13,8651559,15078051,39275,0,0,16,966,19279,39275,966,12465310,15077312,-1,0,128,0,400,20,544,524,534,0.000,0,0,0
R-018,18,FINISHED,0,0,578,1,2366953,12194699,43468,0,0,17,1110,22344,43468,1110,9499254,12194121,-1,0,123,0,400,20,494,474,494,0.000,0,0,0
S-019,19,FINISHED,0,1,82,42,1740,14013293,68149,0,0,16,1716,34193,68149,1716,10202078,14013211,-1,0,207,25,160,8,843,835,843,0.000,0,0,0
T-020,20,FINISHED,0,1,137,36,2281,3184808,14694,0,0,26,359,7106,14694,359,2387390,3184671,-1,0,37,0,160,8,148,140,148,0.000,0,0,0
U-021,21,FINISHED,0,1,469,24,8250,13499024,62669,0,0,22,1575,31464,62669,1575,9773843,13498555,-1,0,186,0,400,20,886,866,886,0.000,0,0,0
V-022,22,FINISHED,0,1,441,40,8006,8626736,41600,0,0,20,1004,20081,41600,1004,6653067,8626295,-1,0,106,0,400,20,501,481,501,0.000,0,0,0
W-023,23,FINISHED,0,1,308,38,5811,5316038,24762,0,0,16,623,12367,24762,623,4139715,5315730,-1,0,67,0,400,20,329,309,329,0.000,0,0,0
X-024,24,FINISHED,0,0,552,13,1804517,11726433,43343,0,0,25,1056,21229,43343,1056,8701467,11725881,-1,0,133,25,400,20,619,599,619,0.000,0,0,0
Y-025,25,FINISHED,0,0,722,35,8858809,15765823,60352,0,0,21,1493,30038,60352,1493,12495473,15765101,-1,0,199,18,400,20,646,626,626,0.000,0,0,0
Z-026,26,FINISHED,0,1,193,34,3389,14522845,73188,0,0,27,1834,36227,73188,1834,10154128,14522652,-1,0,229,0,160,8,887,879,887,0.000,0,0,0
AA-027,27,FINISHED,0,0,577,7,2853847,5738685,12962,0,0,23,328,6640,12962,328,5021539,5738108,-1,0,36,0,400,20,191,171,191,0.000,0,0,0
AB-028,28,FINISHED,0,1,150,37,2695,12288748,57301,0,0,10,1410,28232,57301,1410,9116499,12288598,-1,0,165,25,160,8,672,663,666,0.000,0,0,0
AC-029,29,FINISHED,0,0,553,13,1811753,12033514,44831,0,0,21,1125,22649,44831,1125,9076950,12032961,-1,0,148,30,160,8,581,573,581,0.000,0,0,0
