time,iteration,active,new,finished,ready,io,cpuExecuted,cpuWaste,contextSwitches,contextTime,ioOperations,pageFaults,usedFrames,freeFrames,largestFreeRun,fragmentation,avgWaiting,avgExecution,cpuUtilization,quantum,algorithmChanges
59756,1000,150,99,1,102,48,39572,0,1000,20162,123,891,160,0,0,0.000,26501.988,158.288,0.662,20,0
119933,2000,150,99,1,108,42,79787,0,2000,40124,251,1844,160,0,0,0.000,50972.535,319.148,0.665,20,0
180156,3000,150,99,1,108,42,119853,0,3000,60281,386,2790,160,0,0,0.000,75881.625,479.412,0.665,20,0
240295,4000,150,99,1,112,38,159951,0,4000,80322,495,3569,160,0,0,0.000,102581.984,639.804,0.666,20,0
300395,5000,150,99,1,105,45,199939,0,5000,100434,622,4384,160,0,0,0.000,128235.508,799.756,0.666,20,0
359923,6000,150,98,2,120,30,239539,0,6000,120362,729,5063,160,0,0,0.000,155597.344,958.156,0.666,20,0
420425,7000,150,98,2,116,34,280081,0,7000,140322,848,5797,160,0,0,0.000,183007.172,1120.324,0.666,20,0
479889,8000,150,97,3,96,54,319573,0,8000,160294,963,6468,160,0,0,0.000,211726.703,1278.292,0.666,20,0
539530,9000,150,95,5,119,31,359526,0,9000,179982,1059,6985,160,0,0,0.000,242334.078,1438.104,0.666,20,0
598801,10000,150,94,6,112,38,398920,0,10000,199859,1172,7558,160,0,0,0.000,271481.438,1595.680,0.666,20,0
658361,11000,150,94,6,117,33,438721,0,11000,219618,1290,8129,160,0,0,0.000,297601.344,1754.884,0.666,20,0
718468,12000,150,94,6,100,50,478379,0,12000,240067,1403,8627,160,0,0,0.000,324678.156,1913.516,0.666,20,0
778746,13000,150,93,7,99,51,518611,0,13000,260113,1535,9189,160,0,0,0.000,352849.188,2074.444,0.666,20,0
837846,14000,150,91,9,110,40,557981,0,14000,279843,1660,9733,160,0,0,0.000,383783.438,2231.924,0.666,20,0
897531,15000,150,91,9,112,38,597994,0,15000,299515,1785,10299,160,0,0,0.000,410488.000,2391.976,0.666,20,0
956483,16000,150,91,9,113,37,637208,0,16000,319253,1902,10816,160,0,0,0.000,436931.719,2548.832,0.666,20,0
1016303,17000,150,91,9,117,33,677264,0,17000,339017,2013,11275,160,0,0,0.000,464419.062,2709.056,0.666,20,0
1075478,18000,150,91,9,102,48,716651,0,18000,358805,2149,11868,160,0,0,0.000,490938.938,2866.604,0.666,20,0
1134960,19000,150,91,9,111,39,756415,0,19000,378523,2265,12358,160,0,0,0.000,515078.469,3025.660,0.666,20,0
1193478,20000,150,91,9,102,48,795182,0,20000,398274,2406,12966,160,0,0,0.000,539738.375,3180.728,0.666,20,0
1252367,21000,150,89,11,100,50,834189,0,21000,418156,2544,13556,160,0,0,0.000,573247.375,3336.756,0.666,20,0
1312341,22000,150,88,12,106,44,873860,0,22000,438459,2678,14122,160,0,0,0.000,603412.750,3495.440,0.666,20,0
1372283,23000,150,88,12,111,39,913942,0,23000,458319,2786,14575,160,0,0,0.000,629933.312,3655.768,0.666,20,0
1432161,24000,150,88,12,118,32,953814,0,24000,478325,2897,15052,160,0,0,0.000,656028.312,3815.256,0.666,20,0
1492212,25000,150,88,12,113,37,993571,0,25000,498619,3015,15554,160,0,0,0.000,682085.500,3974.284,0.666,20,0
1552858,26000,150,87,13,107,43,1034254,0,26000,518582,3141,16075,160,0,0,0.000,714771.062,4137.016,0.666,20,0
1612556,27000,150,87,13,110,40,1073854,0,27000,538680,3272,16627,160,0,0,0.000,739662.375,4295.416,0.666,20,0
1673531,28000,150,87,13,108,42,1114572,0,28000,558937,3400,17156,160,0,0,0.000,765519.188,4458.288,0.666,20,0
1733805,29000,150,87,13,102,48,1154744,0,29000,579039,3528,17704,160,0,0,0.000,791604.250,4618.976,0.666,20,0
1794335,30000,150,87,13,108,42,1195257,0,30000,599056,3651,18231,160,0,0,0.000,816118.625,4781.028,0.666,20,0
1853460,31000,150,87,13,113,37,1234337,0,31000,619101,3771,18726,160,0,0,0.000,842467.125,4937.348,0.666,20,0
1914156,32000,150,87,13,108,42,1274859,0,32000,639275,3896,19250,160,0,0,0.000,869193.562,5099.436,0.666,20,0
1974472,33000,150,86,14,112,38,1315468,0,33000,658982,4000,19687,160,0,0,0.000,903348.438,5261.872,0.666,20,0
2034685,34000,150,86,14,122,28,1355695,0,34000,678968,4109,20108,160,0,0,0.000,931495.750,5422.780,0.666,20,0
2094615,35000,150,84,16,114,36,1395411,0,35000,699182,4213,20543,160,0,0,0.000,967097.438,5581.644,0.666,20,0
2154322,36000,150,84,16,110,40,1435166,0,36000,719134,4331,21031,160,0,0,0.000,1001972.500,5740.664,0.666,20,0
2214400,37000,150,83,17,119,31,1475117,0,37000,739261,4446,21509,160,0,0,0.000,1037073.438,5900.468,0.666,20,0
2274361,38000,150,83,17,110,40,1515351,0,38000,758988,4561,21986,160,0,0,0.000,1063745.500,6061.404,0.666,20,0
2335011,39000,150,82,18,106,44,1556236,0,39000,778753,4673,22476,160,0,0,0.000,1099630.625,6224.944,0.666,20,0
2395234,40000,150,82,18,110,40,1596370,0,40000,798842,4790,22987,160,0,0,0.000,1124518.125,6385.480,0.666,20,0
2455105,41000,150,82,18,110,40,1636177,0,41000,818906,4900,23448,160,0,0,0.000,1150644.000,6544.708,0.666,20,0
2516003,42000,150,82,18,117,33,1676864,0,42000,839117,5007,23919,160,0,0,0.000,1177401.375,6707.456,0.666,20,0
2575821,43000,150,80,20,119,31,1716801,0,43000,858998,5126,24430,160,0,0,0.000,1213861.875,6867.204,0.667,20,0
2636073,44000,150,79,21,109,41,1757137,0,44000,878914,5256,24990,160,0,0,0.000,1261710.250,7028.548,0.667,20,0
2696383,45000,150,77,23,111,39,1797339,0,45000,899022,5360,25442,160,0,0,0.000,1309048.750,7189.356,0.667,20,0
